item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/tools/asset-import/Cargo.toml	file	asset-import	engine-rs/crates/tools/asset-import/Cargo.toml	0	-
file:engine-rs/crates/tools/asset-import/README.md	file	asset-import	engine-rs/crates/tools/asset-import/README.md	0	-
file:engine-rs/crates/tools/asset-import/examples/dump_cli_report.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_cli_report.rs	0	-
file:engine-rs/crates/tools/asset-import/examples/dump_import.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_import.rs	0	-
file:engine-rs/crates/tools/asset-import/examples/dump_import_diagnostics.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_import_diagnostics.rs	0	-
file:engine-rs/crates/tools/asset-import/examples/dump_sidecar.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_sidecar.rs	0	-
file:engine-rs/crates/tools/asset-import/src/artifacts.rs	file	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	0	-
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:16:GeneratedArtifact	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	16	struct:GeneratedArtifact
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:22:render_static_mesh	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	22	fn:render_static_mesh
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:111:render_catalog	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	111	fn:render_catalog
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:191:render_artifacts	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	191	fn:render_artifacts
file:engine-rs/crates/tools/asset-import/src/bin/asha_import.rs	file	asset-import	engine-rs/crates/tools/asset-import/src/bin/asha_import.rs	0	-
file:engine-rs/crates/tools/asset-import/src/cli.rs	file	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	0	-
api:engine-rs/crates/tools/asset-import/src/cli.rs:24:Mode	api	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	24	enum:Mode
api:engine-rs/crates/tools/asset-import/src/cli.rs:34:ImportPlan	api	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	34	struct:ImportPlan
api:engine-rs/crates/tools/asset-import/src/cli.rs:51:output_paths	api	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	51	fn:output_paths
api:engine-rs/crates/tools/asset-import/src/cli.rs:62:plan	api	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	62	fn:plan
api:engine-rs/crates/tools/asset-import/src/cli.rs:182:run	api	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	182	fn:run
test:engine-rs/crates/tools/asset-import/src/cli.rs:plan_is_deterministic_and_filesystem_free	test	asset-import	engine-rs/crates/tools/asset-import/src/cli.rs	234	plan_is_deterministic_and_filesystem_free
