item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/state/core-catalog/Cargo.toml	file	core-catalog	engine-rs/crates/state/core-catalog/Cargo.toml	0	-
file:engine-rs/crates/state/core-catalog/examples/dump_catalog.rs	file	core-catalog	engine-rs/crates/state/core-catalog/examples/dump_catalog.rs	0	-
file:engine-rs/crates/state/core-catalog/examples/dump_cycle_diagnostic.rs	file	core-catalog	engine-rs/crates/state/core-catalog/examples/dump_cycle_diagnostic.rs	0	-
file:engine-rs/crates/state/core-catalog/examples/dump_lock_drift.rs	file	core-catalog	engine-rs/crates/state/core-catalog/examples/dump_lock_drift.rs	0	-
file:engine-rs/crates/state/core-catalog/src/dag.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/dag.rs	0	-
api:engine-rs/crates/state/core-catalog/src/dag.rs:17:DependencyGraph	api	core-catalog	engine-rs/crates/state/core-catalog/src/dag.rs	17	struct:DependencyGraph
api:engine-rs/crates/state/core-catalog/src/dag.rs:27:build	api	core-catalog	engine-rs/crates/state/core-catalog/src/dag.rs	27	fn:build
api:engine-rs/crates/state/core-catalog/src/dag.rs:49:detect_cycle	api	core-catalog	engine-rs/crates/state/core-catalog/src/dag.rs	49	fn:detect_cycle
api:engine-rs/crates/state/core-catalog/src/dag.rs:103:dependents_of	api	core-catalog	engine-rs/crates/state/core-catalog/src/dag.rs	103	fn:dependents_of
file:engine-rs/crates/state/core-catalog/src/entry.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	0	-
api:engine-rs/crates/state/core-catalog/src/entry.rs:15:CatalogEntry	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	15	struct:CatalogEntry
api:engine-rs/crates/state/core-catalog/src/entry.rs:36:new	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	36	fn:new
api:engine-rs/crates/state/core-catalog/src/entry.rs:49:kind	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	49	fn:kind
api:engine-rs/crates/state/core-catalog/src/entry.rs:54:with_hash	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	54	fn:with_hash
api:engine-rs/crates/state/core-catalog/src/entry.rs:60:with_source	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	60	fn:with_source
api:engine-rs/crates/state/core-catalog/src/entry.rs:66:with_label	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	66	fn:with_label
api:engine-rs/crates/state/core-catalog/src/entry.rs:72:with_dependencies	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	72	fn:with_dependencies
api:engine-rs/crates/state/core-catalog/src/entry.rs:78:with_material	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	78	fn:with_material
api:engine-rs/crates/state/core-catalog/src/entry.rs:87:Catalog	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	87	struct:Catalog
api:engine-rs/crates/state/core-catalog/src/entry.rs:93:new	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	93	fn:new
api:engine-rs/crates/state/core-catalog/src/entry.rs:100:from_entries	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	100	fn:from_entries
api:engine-rs/crates/state/core-catalog/src/entry.rs:105:get	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	105	fn:get
api:engine-rs/crates/state/core-catalog/src/entry.rs:110:contains	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	110	fn:contains
api:engine-rs/crates/state/core-catalog/src/entry.rs:115:canonical	api	core-catalog	engine-rs/crates/state/core-catalog/src/entry.rs	115	fn:canonical
file:engine-rs/crates/state/core-catalog/src/fallback.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/fallback.rs	0	-
api:engine-rs/crates/state/core-catalog/src/fallback.rs:14:AssetContext	api	core-catalog	engine-rs/crates/state/core-catalog/src/fallback.rs	14	enum:AssetContext
api:engine-rs/crates/state/core-catalog/src/fallback.rs:27:FallbackVisual	api	core-catalog	engine-rs/crates/state/core-catalog/src/fallback.rs	27	enum:FallbackVisual
api:engine-rs/crates/state/core-catalog/src/fallback.rs:36:FallbackOutcome	api	core-catalog	engine-rs/crates/state/core-catalog/src/fallback.rs	36	enum:FallbackOutcome
api:engine-rs/crates/state/core-catalog/src/fallback.rs:52:fallback_for	api	core-catalog	engine-rs/crates/state/core-catalog/src/fallback.rs	52	fn:fallback_for
file:engine-rs/crates/state/core-catalog/src/json.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/json.rs	0	-
api:engine-rs/crates/state/core-catalog/src/json.rs:20:encode	api	core-catalog	engine-rs/crates/state/core-catalog/src/json.rs	20	fn:encode
api:engine-rs/crates/state/core-catalog/src/json.rs:182:CatalogDecodeError	api	core-catalog	engine-rs/crates/state/core-catalog/src/json.rs	182	enum:CatalogDecodeError
api:engine-rs/crates/state/core-catalog/src/json.rs:205:decode	api	core-catalog	engine-rs/crates/state/core-catalog/src/json.rs	205	fn:decode
file:engine-rs/crates/state/core-catalog/src/lib.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	0	-
api:engine-rs/crates/state/core-catalog/src/lib.rs:35:dag	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	35	mod:dag
api:engine-rs/crates/state/core-catalog/src/lib.rs:36:entry	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	36	mod:entry
api:engine-rs/crates/state/core-catalog/src/lib.rs:37:fallback	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	37	mod:fallback
api:engine-rs/crates/state/core-catalog/src/lib.rs:38:json	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	38	mod:json
api:engine-rs/crates/state/core-catalog/src/lib.rs:39:lock	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	39	mod:lock
api:engine-rs/crates/state/core-catalog/src/lib.rs:40:material	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	40	mod:material
api:engine-rs/crates/state/core-catalog/src/lib.rs:41:revalidate	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	41	mod:revalidate
api:engine-rs/crates/state/core-catalog/src/lib.rs:42:validate	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	42	mod:validate
api:engine-rs/crates/state/core-catalog/src/lib.rs:43:voxel	api	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	43	mod:voxel
test:engine-rs/crates/state/core-catalog/src/lib.rs:valid_catalog_passes	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	115	valid_catalog_passes
test:engine-rs/crates/state/core-catalog/src/lib.rs:detects_duplicate_asset_id	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	120	detects_duplicate_asset_id
test:engine-rs/crates/state/core-catalog/src/lib.rs:detects_missing_dependency	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	131	detects_missing_dependency
test:engine-rs/crates/state/core-catalog/src/lib.rs:detects_wrong_kind_texture_slot	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	146	detects_wrong_kind_texture_slot
test:engine-rs/crates/state/core-catalog/src/lib.rs:detects_material_payload_placement	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	164	detects_material_payload_placement
test:engine-rs/crates/state/core-catalog/src/lib.rs:detects_dependency_cycle_with_path	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	181	detects_dependency_cycle_with_path
test:engine-rs/crates/state/core-catalog/src/lib.rs:dag_lists_dependents	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	211	dag_lists_dependents
test:engine-rs/crates/state/core-catalog/src/lib.rs:catalog_json_round_trips_and_validates	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	224	catalog_json_round_trips_and_validates
test:engine-rs/crates/state/core-catalog/src/lib.rs:fresh_lock_validates_clean	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	236	fresh_lock_validates_clean
test:engine-rs/crates/state/core-catalog/src/lib.rs:lock_detects_version_and_hash_drift	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	243	lock_detects_version_and_hash_drift
test:engine-rs/crates/state/core-catalog/src/lib.rs:lock_detects_missing_and_new_assets	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	264	lock_detects_missing_and_new_assets
test:engine-rs/crates/state/core-catalog/src/lib.rs:lock_detects_wrong_kind_and_dependency_drift	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	282	lock_detects_wrong_kind_and_dependency_drift
test:engine-rs/crates/state/core-catalog/src/lib.rs:material_projections_are_separated	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	301	material_projections_are_separated
test:engine-rs/crates/state/core-catalog/src/lib.rs:fallback_depends_on_context_not_just_kind	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	315	fallback_depends_on_context_not_just_kind
test:engine-rs/crates/state/core-catalog/src/lib.rs:revalidation_reports_dependents_and_safety	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	346	revalidation_reports_dependents_and_safety
test:engine-rs/crates/state/core-catalog/src/lib.rs:revalidating_unknown_asset_is_none	test	core-catalog	engine-rs/crates/state/core-catalog/src/lib.rs	381	revalidating_unknown_asset_is_none
file:engine-rs/crates/state/core-catalog/src/lock.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	0	-
api:engine-rs/crates/state/core-catalog/src/lock.rs:18:AssetLockEntry	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	18	struct:AssetLockEntry
api:engine-rs/crates/state/core-catalog/src/lock.rs:29:AssetLock	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	29	struct:AssetLock
api:engine-rs/crates/state/core-catalog/src/lock.rs:35:generate_lock	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	35	fn:generate_lock
api:engine-rs/crates/state/core-catalog/src/lock.rs:58:LockIssue	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	58	enum:LockIssue
api:engine-rs/crates/state/core-catalog/src/lock.rs:84:label	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	84	fn:label
api:engine-rs/crates/state/core-catalog/src/lock.rs:98:LockFinding	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	98	struct:LockFinding
api:engine-rs/crates/state/core-catalog/src/lock.rs:105:LockValidationReport	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	105	struct:LockValidationReport
api:engine-rs/crates/state/core-catalog/src/lock.rs:111:is_clean	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	111	fn:is_clean
api:engine-rs/crates/state/core-catalog/src/lock.rs:118:validate_lock	api	core-catalog	engine-rs/crates/state/core-catalog/src/lock.rs	118	fn:validate_lock
file:engine-rs/crates/state/core-catalog/src/material.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	0	-
api:engine-rs/crates/state/core-catalog/src/material.rs:15:StructuralClass	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	15	enum:StructuralClass
api:engine-rs/crates/state/core-catalog/src/material.rs:27:MaterialAuthority	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	27	struct:MaterialAuthority
api:engine-rs/crates/state/core-catalog/src/material.rs:50:UvStrategy	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	50	enum:UvStrategy
api:engine-rs/crates/state/core-catalog/src/material.rs:62:Rgba	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	62	struct:Rgba
api:engine-rs/crates/state/core-catalog/src/material.rs:96:MaterialStyle	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	96	struct:MaterialStyle
api:engine-rs/crates/state/core-catalog/src/material.rs:111:flat	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	111	fn:flat
api:engine-rs/crates/state/core-catalog/src/material.rs:126:MaterialDef	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	126	struct:MaterialDef
api:engine-rs/crates/state/core-catalog/src/material.rs:133:RenderMaterial	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	133	struct:RenderMaterial
api:engine-rs/crates/state/core-catalog/src/material.rs:145:CollisionMaterial	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	145	struct:CollisionMaterial
api:engine-rs/crates/state/core-catalog/src/material.rs:154:render_projection	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	154	fn:render_projection
api:engine-rs/crates/state/core-catalog/src/material.rs:167:collision_projection	api	core-catalog	engine-rs/crates/state/core-catalog/src/material.rs	167	fn:collision_projection
file:engine-rs/crates/state/core-catalog/src/revalidate.rs	file	core-catalog	engine-rs/crates/state/core-catalog/src/revalidate.rs	0	-
api:engine-rs/crates/state/core-catalog/src/revalidate.rs:21:ChangeKind	api	core-catalog	engine-rs/crates/state/core-catalog/src/revalidate.rs	21	enum:ChangeKind
api:engine-rs/crates/state/core-catalog/src/revalidate.rs:32:ReloadSuggestion	api	core-catalog	engine-rs/crates/state/core-catalog/src/revalidate.rs	32	enum:ReloadSuggestion
