item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/state/core-entity/Cargo.toml	file	core-entity	engine-rs/crates/state/core-entity/Cargo.toml	0	-
file:engine-rs/crates/state/core-entity/examples/dump_entity_fixtures.rs	file	core-entity	engine-rs/crates/state/core-entity/examples/dump_entity_fixtures.rs	0	-
file:engine-rs/crates/state/core-entity/src/activation.rs	file	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	0	-
api:engine-rs/crates/state/core-entity/src/activation.rs:10:ActivatableCapabilityKind	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	10	enum:ActivatableCapabilityKind
api:engine-rs/crates/state/core-entity/src/activation.rs:16:label	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	16	fn:label
api:engine-rs/crates/state/core-entity/src/activation.rs:26:CapabilityActivationState	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	26	enum:CapabilityActivationState
api:engine-rs/crates/state/core-entity/src/activation.rs:32:label	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	32	fn:label
api:engine-rs/crates/state/core-entity/src/activation.rs:43:CapabilityActivationPresence	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	43	enum:CapabilityActivationPresence
api:engine-rs/crates/state/core-entity/src/activation.rs:50:label	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	50	fn:label
api:engine-rs/crates/state/core-entity/src/activation.rs:60:CapabilityActivationAction	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	60	enum:CapabilityActivationAction
api:engine-rs/crates/state/core-entity/src/activation.rs:66:CapabilityActivationCommand	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	66	struct:CapabilityActivationCommand
api:engine-rs/crates/state/core-entity/src/activation.rs:73:CapabilityActivationEvent	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	73	struct:CapabilityActivationEvent
api:engine-rs/crates/state/core-entity/src/activation.rs:81:CapabilityActivationReadout	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	81	struct:CapabilityActivationReadout
api:engine-rs/crates/state/core-entity/src/activation.rs:92:CapabilityActivationError	api	core-entity	engine-rs/crates/state/core-entity/src/activation.rs	92	enum:CapabilityActivationError
file:engine-rs/crates/state/core-entity/src/capability.rs	file	core-entity	engine-rs/crates/state/core-entity/src/capability.rs	0	-
api:engine-rs/crates/state/core-entity/src/capability.rs:18:TransformCapability	api	core-entity	engine-rs/crates/state/core-entity/src/capability.rs	18	struct:TransformCapability
