item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/state/core-scene/Cargo.toml	file	core-scene	engine-rs/crates/state/core-scene/Cargo.toml	0	-
file:engine-rs/crates/state/core-scene/examples/dump_bootstrap_summary.rs	file	core-scene	engine-rs/crates/state/core-scene/examples/dump_bootstrap_summary.rs	0	-
file:engine-rs/crates/state/core-scene/examples/dump_canonical_scene.rs	file	core-scene	engine-rs/crates/state/core-scene/examples/dump_canonical_scene.rs	0	-
api:engine-rs/crates/state/core-scene/examples/dump_canonical_scene.rs:20:sample_tree	api	core-scene	engine-rs/crates/state/core-scene/examples/dump_canonical_scene.rs	20	fn:sample_tree
file:engine-rs/crates/state/core-scene/src/bootstrap.rs	file	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	0	-
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:34:SUPPORTED_SCHEMA_VERSION	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	34	const:SUPPORTED_SCHEMA_VERSION
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:37:DEFAULT_BASE_ENTITY_ID	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	37	const:DEFAULT_BASE_ENTITY_ID
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:43:BootstrapError	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	43	enum:BootstrapError
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:67:BootstrapResolutionContext	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	67	struct:BootstrapResolutionContext
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:76:BootstrapReferenceError	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	76	enum:BootstrapReferenceError
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:103:SceneContentHash	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	103	struct:SceneContentHash
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:107:PlannedEntity	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	107	struct:PlannedEntity
api:engine-rs/crates/state/core-scene/src/bootstrap.rs:117:BootstrapPlan	api	core-scene	engine-rs/crates/state/core-scene/src/bootstrap.rs	117	struct:BootstrapPlan
