item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-assets/Cargo.toml	file	protocol-assets	engine-rs/crates/protocol/protocol-assets/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-assets/src/lib.rs	file	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:33:ASSET_KINDS	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	33	const:ASSET_KINDS
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:49:CATALOG_VALIDATION_CODES	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	49	const:CATALOG_VALIDATION_CODES
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:60:LOCK_ISSUE_CODES	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	60	const:LOCK_ISSUE_CODES
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:70:STRUCTURAL_CLASSES	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	70	const:STRUCTURAL_CLASSES
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:73:UV_STRATEGIES	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	73	const:UV_STRATEGIES
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:76:FALLBACK_CONTEXTS	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	76	const:FALLBACK_CONTEXTS
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:84:FALLBACK_VISUALS	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	84	const:FALLBACK_VISUALS
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:87:FALLBACK_OUTCOMES	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	87	const:FALLBACK_OUTCOMES
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:93:AssetReference	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	93	struct:AssetReference
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:100:Rgba	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	100	struct:Rgba
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:109:RenderMaterial	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	109	struct:RenderMaterial
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:121:CollisionMaterial	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	121	struct:CollisionMaterial
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:130:MaterialProjection	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	130	struct:MaterialProjection
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:137:CatalogEntry	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	137	struct:CatalogEntry
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:150:Catalog	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	150	struct:Catalog
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:158:StoredAssetVersionRequirement	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	158	enum:StoredAssetVersionRequirement
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:165:StoredAssetReference	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	165	struct:StoredAssetReference
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:172:StoredMaterialAuthority	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	172	struct:StoredMaterialAuthority
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:180:StoredMaterialStyle	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	180	struct:StoredMaterialStyle
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:191:StoredMaterialDefinition	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	191	struct:StoredMaterialDefinition
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:197:StoredCatalogEntry	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	197	struct:StoredCatalogEntry
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:208:StoredAssetCatalog	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	208	struct:StoredAssetCatalog
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:214:CatalogValidationError	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	214	struct:CatalogValidationError
api:engine-rs/crates/protocol/protocol-assets/src/lib.rs:229:CatalogValidationReport	api	protocol-assets	engine-rs/crates/protocol/protocol-assets/src/lib.rs	229	struct:CatalogValidationReport
