item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-diagnostics/Cargo.toml	file	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	file	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:42:DiagnosticSeverity	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	42	enum:DiagnosticSeverity
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:57:as_str	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	57	fn:as_str
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:67:rank	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	67	fn:rank
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:77:blocks_load	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	77	fn:blocks_load
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:84:DIAGNOSTIC_SEVERITIES	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	84	const:DIAGNOSTIC_SEVERITIES
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:91:DiagnosticScope	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	91	enum:DiagnosticScope
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:110:as_str	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	110	fn:as_str
api:engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs:123:DIAGNOSTIC_SCOPES	api	protocol-diagnostics	engine-rs/crates/protocol/protocol-diagnostics/src/lib.rs	123	const:DIAGNOSTIC_SCOPES
