item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-entity-authoring/Cargo.toml	file	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	file	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:37:AuthoringTransform	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	37	struct:AuthoringTransform
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:46:AuthoringSource	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	46	enum:AuthoringSource
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:55:SOURCE_KINDS	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	55	const:SOURCE_KINDS
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:64:kind	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	64	fn:kind
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:81:AuthoringCapability	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	81	enum:AuthoringCapability
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:89:CAPABILITY_KINDS	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	89	const:CAPABILITY_KINDS
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:92:kind	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	92	fn:kind
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:105:ActivatableCapabilityKind	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	105	enum:ActivatableCapabilityKind
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:110:ACTIVATABLE_CAPABILITY_KINDS	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	110	const:ACTIVATABLE_CAPABILITY_KINDS
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:113:CapabilityActivationAction	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	113	enum:CapabilityActivationAction
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:118:CAPABILITY_ACTIVATION_ACTIONS	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	118	const:CAPABILITY_ACTIVATION_ACTIONS
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:121:CapabilityActivationPresence	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	121	enum:CapabilityActivationPresence
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:127:CAPABILITY_ACTIVATION_PRESENCE_VALUES	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	127	const:CAPABILITY_ACTIVATION_PRESENCE_VALUES
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:130:CapabilityActivationEntityLifecycle	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	130	enum:CapabilityActivationEntityLifecycle
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:136:CAPABILITY_ACTIVATION_ENTITY_LIFECYCLES	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	136	const:CAPABILITY_ACTIVATION_ENTITY_LIFECYCLES
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:141:CapabilityActivationRequest	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	141	struct:CapabilityActivationRequest
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:148:CapabilityActivationEvent	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	148	struct:CapabilityActivationEvent
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:157:CapabilityActivationReadout	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	157	struct:CapabilityActivationReadout
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:166:CapabilityActivationDiagnosticCode	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	166	enum:CapabilityActivationDiagnosticCode
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:174:CAPABILITY_ACTIVATION_DIAGNOSTIC_CODES	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	174	const:CAPABILITY_ACTIVATION_DIAGNOSTIC_CODES
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:183:CapabilityActivationDiagnostic	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	183	struct:CapabilityActivationDiagnostic
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:191:CapabilityActivationOutcome	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	191	enum:CapabilityActivationOutcome
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:208:EntityDefinitionSourceTrace	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	208	struct:EntityDefinitionSourceTrace
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:216:EntityDefinitionMetadataEntry	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	216	struct:EntityDefinitionMetadataEntry
api:engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs:227:EntityAppearanceBinding	api	protocol-entity-authoring	engine-rs/crates/protocol/protocol-entity-authoring/src/lib.rs	227	struct:EntityAppearanceBinding
