item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-render/Cargo.toml	file	protocol-render	engine-rs/crates/protocol/protocol-render/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	file	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	0	-
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:11:SpatialGridCoordinateSystem	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	11	enum:SpatialGridCoordinateSystem
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:17:SpatialGridSpec	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	17	struct:SpatialGridSpec
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:25:EditorGridPlane	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	25	enum:EditorGridPlane
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:33:SpatialGridSnapAnchor	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	33	enum:SpatialGridSnapAnchor
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:40:EditorGridStyle	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	40	struct:EditorGridStyle
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:54:EditorGridDescriptor	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	54	struct:EditorGridDescriptor
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:64:EditorGridBounds	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	64	struct:EditorGridBounds
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:71:EditorGridProjectionReadout	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	71	struct:EditorGridProjectionReadout
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:80:EditorGridDescriptorError	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	80	enum:EditorGridDescriptorError
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:91:validate	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	91	fn:validate
test:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:descriptor_validation_enforces_y_up_and_numeric_bounds	test	protocol-render	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	142	descriptor_validation_enforces_y_up_and_numeric_bounds
file:engine-rs/crates/protocol/protocol-render/src/lib.rs	file	protocol-render	engine-rs/crates/protocol/protocol-render/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:66:RenderHandle	api	protocol-render	engine-rs/crates/protocol/protocol-render/src/lib.rs	66	struct:RenderHandle
