item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-scene/Cargo.toml	file	protocol-scene	engine-rs/crates/protocol/protocol-scene/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-scene/src/lib.rs	file	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:43:SCENE_NODE_KIND_TAGS	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	43	const:SCENE_NODE_KIND_TAGS
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:56:SCENE_VALIDATION_CODES	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	56	const:SCENE_VALIDATION_CODES
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:75:SCENE_OBJECT_COMMAND_REJECTION_CODES	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	75	const:SCENE_OBJECT_COMMAND_REJECTION_CODES
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:92:SCENE_DOCUMENT_CODEC_DIAGNOSTIC_CODES	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	92	const:SCENE_DOCUMENT_CODEC_DIAGNOSTIC_CODES
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:106:SCENE_DOCUMENT_AUTHORING_REJECTION_CODES	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	106	const:SCENE_DOCUMENT_AUTHORING_REJECTION_CODES
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:117:SceneDocumentAuthoringRejectionCode	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	117	enum:SceneDocumentAuthoringRejectionCode
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:127:as_str	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	127	fn:as_str
api:engine-rs/crates/protocol/protocol-scene/src/lib.rs:141:SceneNodeKindTag	api	protocol-scene	engine-rs/crates/protocol/protocol-scene/src/lib.rs	141	enum:SceneNodeKindTag
