item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-voxel-annotation/Cargo.toml	file	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	file	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:23:VOXEL_ANNOTATION_SCHEMA_VERSION	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	23	const:VOXEL_ANNOTATION_SCHEMA_VERSION
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:26:VOXEL_ANNOTATION_MEDIA_TYPE	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	26	const:VOXEL_ANNOTATION_MEDIA_TYPE
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:30:VOXEL_ANNOTATION_EXTENSION	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	30	const:VOXEL_ANNOTATION_EXTENSION
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:33:VOXEL_ANNOTATION_KINDS	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	33	const:VOXEL_ANNOTATION_KINDS
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:45:VOXEL_ANNOTATION_PROVENANCE_KINDS	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	45	const:VOXEL_ANNOTATION_PROVENANCE_KINDS
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:53:VOXEL_ANNOTATION_DIAGNOSTIC_CODES	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	53	const:VOXEL_ANNOTATION_DIAGNOSTIC_CODES
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:76:VOXEL_ANNOTATION_EDIT_OPERATIONS	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	76	const:VOXEL_ANNOTATION_EDIT_OPERATIONS
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:89:VOXEL_ANNOTATION_QUERY_MODES	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	89	const:VOXEL_ANNOTATION_QUERY_MODES
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:94:VoxelAnnotationKind	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	94	enum:VoxelAnnotationKind
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:106:as_str	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	106	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:123:VoxelAnnotationProvenanceKind	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	123	enum:VoxelAnnotationProvenanceKind
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:131:as_str	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	131	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:144:VoxelAnnotationDiagnosticCode	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	144	enum:VoxelAnnotationDiagnosticCode
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:167:as_str	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	167	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:199:VoxelAnnotationEditOperation	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	199	enum:VoxelAnnotationEditOperation
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:212:as_str	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	212	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:230:VoxelAnnotationQueryMode	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	230	enum:VoxelAnnotationQueryMode
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:238:as_str	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	238	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs:251:VoxelAnnotationCoord	api	protocol-voxel-annotation	engine-rs/crates/protocol/protocol-voxel-annotation/src/lib.rs	251	struct:VoxelAnnotationCoord
