item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-voxel-asset/Cargo.toml	file	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	file	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:22:VOXEL_ASSET_SCHEMA_VERSION	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	22	const:VOXEL_ASSET_SCHEMA_VERSION
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:25:VOXEL_ASSET_MEDIA_TYPE	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	25	const:VOXEL_ASSET_MEDIA_TYPE
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:28:VOXEL_ASSET_EXTENSION	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	28	const:VOXEL_ASSET_EXTENSION
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:31:VOXEL_PALETTE_UPDATE_MAX_REQUEST_BYTES	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	31	const:VOXEL_PALETTE_UPDATE_MAX_REQUEST_BYTES
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:34:VOXEL_PALETTE_UPDATE_MAX_SPARSE_RUNS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	34	const:VOXEL_PALETTE_UPDATE_MAX_SPARSE_RUNS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:37:VOXEL_PALETTE_UPDATE_MAX_REPRESENTED_VOXELS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	37	const:VOXEL_PALETTE_UPDATE_MAX_REPRESENTED_VOXELS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:40:VOXEL_PALETTE_UPDATE_MAX_MATERIAL_BINDINGS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	40	const:VOXEL_PALETTE_UPDATE_MAX_MATERIAL_BINDINGS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:43:VOXEL_PALETTE_UPDATE_MAX_PROVENANCE_REFS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	43	const:VOXEL_PALETTE_UPDATE_MAX_PROVENANCE_REFS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:46:VOXEL_PALETTE_UPDATE_MAX_EMBEDDED_DIAGNOSTICS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	46	const:VOXEL_PALETTE_UPDATE_MAX_EMBEDDED_DIAGNOSTICS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:49:VOXEL_PALETTE_UPDATE_MAX_STRING_BYTES	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	49	const:VOXEL_PALETTE_UPDATE_MAX_STRING_BYTES
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:52:VOXEL_ASSET_REPRESENTATION_KINDS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	52	const:VOXEL_ASSET_REPRESENTATION_KINDS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:55:VOXEL_ASSET_PROVENANCE_KINDS	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	55	const:VOXEL_ASSET_PROVENANCE_KINDS
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:64:VOXEL_ASSET_DIAGNOSTIC_CODES	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	64	const:VOXEL_ASSET_DIAGNOSTIC_CODES
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:85:VoxelAssetRepresentationKind	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	85	enum:VoxelAssetRepresentationKind
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:90:as_str	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	90	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:100:VoxelAssetProvenanceKind	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	100	enum:VoxelAssetProvenanceKind
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:109:as_str	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	109	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:123:VoxelAssetDiagnosticCode	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	123	enum:VoxelAssetDiagnosticCode
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:142:as_str	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	142	fn:as_str
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:165:VoxelAssetCoord	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	165	struct:VoxelAssetCoord
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:174:VoxelAssetBounds	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	174	struct:VoxelAssetBounds
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:182:VoxelAssetGrid	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	182	struct:VoxelAssetGrid
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:191:VoxelAssetMaterialBinding	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	191	struct:VoxelAssetMaterialBinding
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:202:VoxelAssetSparseRun	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	202	struct:VoxelAssetSparseRun
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:211:VoxelAssetRepresentation	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	211	struct:VoxelAssetRepresentation
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:219:VoxelAssetProvenanceRef	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	219	struct:VoxelAssetProvenanceRef
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:228:VoxelAssetAuthoringMetadata	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	228	struct:VoxelAssetAuthoringMetadata
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:237:VoxelAssetContentHashes	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	237	struct:VoxelAssetContentHashes
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:245:VoxelAssetDiagnostic	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	245	struct:VoxelAssetDiagnostic
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:255:VoxelAssetMaterialCount	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	255	struct:VoxelAssetMaterialCount
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:263:VoxelVolumeAsset	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	263	struct:VoxelVolumeAsset
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:280:VoxelVolumeAssetExportRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	280	struct:VoxelVolumeAssetExportRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:294:VoxelVolumeAssetExportReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	294	struct:VoxelVolumeAssetExportReceipt
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:308:VoxelVolumeAssetSaveRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	308	struct:VoxelVolumeAssetSaveRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:321:VoxelVolumeAssetStoredDiff	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	321	struct:VoxelVolumeAssetStoredDiff
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:340:VoxelVolumeAssetSaveReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	340	struct:VoxelVolumeAssetSaveReceipt
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:355:VoxelVolumeAssetPaletteUpdateRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	355	struct:VoxelVolumeAssetPaletteUpdateRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:369:VoxelVolumeAssetPaletteStoredDiff	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	369	struct:VoxelVolumeAssetPaletteStoredDiff
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:385:VoxelVolumeAssetPaletteUpdateReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	385	struct:VoxelVolumeAssetPaletteUpdateReceipt
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:402:VoxelVolumeAuthoringInitializeRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	402	struct:VoxelVolumeAuthoringInitializeRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:415:VoxelVolumeAuthoringInitializeReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	415	struct:VoxelVolumeAuthoringInitializeReceipt
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:429:VoxelVolumeAssetLoadRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	429	struct:VoxelVolumeAssetLoadRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:440:VoxelVolumeAssetLoadReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	440	struct:VoxelVolumeAssetLoadReceipt
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:462:VoxelVolumeAssetUnloadRequest	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	462	struct:VoxelVolumeAssetUnloadRequest
api:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:472:VoxelVolumeAssetUnloadReceipt	api	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	472	struct:VoxelVolumeAssetUnloadReceipt
test:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:vocabulary_tables_are_nonempty_and_unique	test	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	489	vocabulary_tables_are_nonempty_and_unique
test:engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs:enum_tables_match_public_strings	test	protocol-voxel-asset	engine-rs/crates/protocol/protocol-voxel-asset/src/lib.rs	504	enum_tables_match_public_strings
