item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-voxel-conversion/Cargo.toml	file	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	file	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:22:VOXEL_CONVERSION_MODES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	22	const:VOXEL_CONVERSION_MODES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:25:VOXEL_CONVERSION_MESH_SOURCE_FORMATS	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	25	const:VOXEL_CONVERSION_MESH_SOURCE_FORMATS
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:28:VOXEL_CONVERSION_MESH_IMPORT_MAX_SOURCE_BYTES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	28	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_SOURCE_BYTES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:32:VOXEL_CONVERSION_MESH_IMPORT_MAX_REQUEST_BYTES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	32	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_REQUEST_BYTES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:36:VOXEL_CONVERSION_MESH_IMPORT_MAX_ASSET_ID_BYTES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	36	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_ASSET_ID_BYTES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:39:VOXEL_CONVERSION_MESH_IMPORT_MAX_SOURCE_PATH_BYTES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	39	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_SOURCE_PATH_BYTES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:42:VOXEL_CONVERSION_MESH_IMPORT_MAX_PRIMITIVE_BYTES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	42	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_PRIMITIVE_BYTES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:45:VOXEL_CONVERSION_MESH_IMPORT_MAX_VERTICES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	45	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_VERTICES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:48:VOXEL_CONVERSION_MESH_IMPORT_MAX_INDICES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	48	const:VOXEL_CONVERSION_MESH_IMPORT_MAX_INDICES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:51:VOXEL_CONVERSION_FIT_POLICIES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	51	const:VOXEL_CONVERSION_FIT_POLICIES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:54:VOXEL_CONVERSION_ORIGIN_POLICIES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	54	const:VOXEL_CONVERSION_ORIGIN_POLICIES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:57:VOXEL_CONVERSION_EVIDENCE_KINDS	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	57	const:VOXEL_CONVERSION_EVIDENCE_KINDS
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:68:VOXEL_CONVERSION_DIAGNOSTIC_CODES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	68	const:VOXEL_CONVERSION_DIAGNOSTIC_CODES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:89:VOXEL_CONVERSION_TEXTURE_COLOR_SPACES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	89	const:VOXEL_CONVERSION_TEXTURE_COLOR_SPACES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:92:VOXEL_CONVERSION_TEXTURE_CHANNEL_LAYOUTS	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	92	const:VOXEL_CONVERSION_TEXTURE_CHANNEL_LAYOUTS
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:95:VOXEL_CONVERSION_TEXTURE_SAMPLING_POLICIES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	95	const:VOXEL_CONVERSION_TEXTURE_SAMPLING_POLICIES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:98:VOXEL_CONVERSION_TEXTURE_WRAP_POLICIES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	98	const:VOXEL_CONVERSION_TEXTURE_WRAP_POLICIES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:101:VOXEL_CONVERSION_TEXTURE_MATERIAL_MODES	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	101	const:VOXEL_CONVERSION_TEXTURE_MATERIAL_MODES
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:106:VoxelConversionMode	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	106	enum:VoxelConversionMode
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:116:VoxelConversionMeshSourceFormat	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	116	enum:VoxelConversionMeshSourceFormat
api:engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs:121:as_str	api	protocol-voxel-conversion	engine-rs/crates/protocol/protocol-voxel-conversion/src/lib.rs	121	fn:as_str
