item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/protocol/protocol-voxel-edit-history/Cargo.toml	file	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/Cargo.toml	0	-
file:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	file	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	0	-
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:21:VOXEL_EDIT_HISTORY_SCHEMA_VERSION	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	21	const:VOXEL_EDIT_HISTORY_SCHEMA_VERSION
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:24:VOXEL_EDIT_HISTORY_MEDIA_TYPE	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	24	const:VOXEL_EDIT_HISTORY_MEDIA_TYPE
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:28:VOXEL_EDIT_HISTORY_EXTENSION	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	28	const:VOXEL_EDIT_HISTORY_EXTENSION
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:31:VOXEL_EDIT_HISTORY_ENTRY_KINDS	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	31	const:VOXEL_EDIT_HISTORY_ENTRY_KINDS
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:34:VOXEL_EDIT_HISTORY_CURSOR_KINDS	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	34	const:VOXEL_EDIT_HISTORY_CURSOR_KINDS
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:37:VOXEL_EDIT_HISTORY_REVERT_MODES	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	37	const:VOXEL_EDIT_HISTORY_REVERT_MODES
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:41:VOXEL_EDIT_HISTORY_DIFF_LEVELS	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	41	const:VOXEL_EDIT_HISTORY_DIFF_LEVELS
api:engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs:44:VOXEL_EDIT_HISTORY_DIAGNOSTIC_CODES	api	protocol-voxel-edit-history	engine-rs/crates/protocol/protocol-voxel-edit-history/src/lib.rs	44	const:VOXEL_EDIT_HISTORY_DIAGNOSTIC_CODES
