item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/rules/rule-animation-controller/Cargo.toml	file	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/Cargo.toml	0	-
file:engine-rs/crates/rules/rule-animation-controller/src/hashing.rs	file	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/hashing.rs	0	-
file:engine-rs/crates/rules/rule-animation-controller/src/lib.rs	file	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	0	-
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:33:ANIMATION_CATALOG_SCHEMA_VERSION	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	33	const:ANIMATION_CATALOG_SCHEMA_VERSION
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:34:ANIMATION_SNAPSHOT_SCHEMA_VERSION	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	34	const:ANIMATION_SNAPSHOT_SCHEMA_VERSION
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:35:AUTHORITY_VERSION	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	35	const:AUTHORITY_VERSION
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:36:BLEND_WEIGHT_SCALE	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	36	const:BLEND_WEIGHT_SCALE
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:40:AnimationCatalog	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	40	struct:AnimationCatalog
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:49:AnimationClipAsset	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	49	struct:AnimationClipAsset
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:56:AnimationGraphDefinition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	56	struct:AnimationGraphDefinition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:68:AnimationParameterDefinition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	68	struct:AnimationParameterDefinition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:76:AnimationParameterKind	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	76	enum:AnimationParameterKind
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:86:AnimationParameterValue	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	86	enum:AnimationParameterValue
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:93:kind	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	93	fn:kind
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:104:AnimationStateDefinition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	104	struct:AnimationStateDefinition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:115:AnimationMotionDefinition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	115	enum:AnimationMotionDefinition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:132:AnimationTransitionDefinition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	132	struct:AnimationTransitionDefinition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:148:AnimationCondition	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	148	enum:AnimationCondition
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:188:AnimationCatalogDiagnostic	api	rule-animation-controller	engine-rs/crates/rules/rule-animation-controller/src/lib.rs	188	struct:AnimationCatalogDiagnostic
