item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/rules/rule-relationship/Cargo.toml	file	rule-relationship	engine-rs/crates/rules/rule-relationship/Cargo.toml	0	-
file:engine-rs/crates/rules/rule-relationship/src/lib.rs	file	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	0	-
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:24:RelationshipRequest	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	24	struct:RelationshipRequest
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:29:attach_transform_parent	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	29	fn:attach_transform_parent
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:35:detach_transform_parent	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	35	fn:detach_transform_parent
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:41:set_containment	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	41	fn:set_containment
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:47:clear_containment	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	47	fn:clear_containment
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:53:set_derived_from	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	53	fn:set_derived_from
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:59:set_render_group	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	59	fn:set_render_group
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:65:kind	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	65	fn:kind
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:69:subject	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	69	fn:subject
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:73:target	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	73	fn:target
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:86:RelationshipApplied	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	86	struct:RelationshipApplied
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:94:RelationshipPreview	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	94	struct:RelationshipPreview
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:100:RelationshipReadout	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	100	struct:RelationshipReadout
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:109:RelationshipRuleError	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	109	struct:RelationshipRuleError
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:114:category	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	114	fn:category
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:127:code	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	127	fn:code
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:155:read_relationships	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	155	fn:read_relationships
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:165:preview_relationship	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	165	fn:preview_relationship
api:engine-rs/crates/rules/rule-relationship/src/lib.rs:175:apply_relationship	api	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	175	fn:apply_relationship
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:transform_parent_attach_and_detach_use_core_entity_tables	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	249	transform_parent_attach_and_detach_use_core_entity_tables
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:preview_validates_without_mutating	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	279	preview_validates_without_mutating
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:containment_cycle_is_rejected_by_core_semantics	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	299	containment_cycle_is_rejected_by_core_semantics
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:transform_attachment_requires_spatial_endpoints	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	320	transform_attachment_requires_spatial_endpoints
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:source_ancestry_records_dependency_trace	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	339	source_ancestry_records_dependency_trace
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:unknown_and_tombstoned_endpoints_fail_closed	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	358	unknown_and_tombstoned_endpoints_fail_closed
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:self_relationship_and_missing_detach_are_rejected	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	388	self_relationship_and_missing_detach_are_rejected
test:engine-rs/crates/rules/rule-relationship/src/lib.rs:render_grouping_fails_closed_as_projection_only	test	rule-relationship	engine-rs/crates/rules/rule-relationship/src/lib.rs	420	render_grouping_fails_closed_as_projection_only
