item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/rules/rule-trigger-volume/Cargo.toml	file	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/Cargo.toml	0	-
file:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	file	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	0	-
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:16:TRIGGER_VOLUME_SNAPSHOT_SCHEMA_VERSION	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	16	const:TRIGGER_VOLUME_SNAPSHOT_SCHEMA_VERSION
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:17:TRIGGER_VOLUME_OWNER_ID	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	17	const:TRIGGER_VOLUME_OWNER_ID
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:23:KinematicTriggerDefinition	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	23	struct:KinematicTriggerDefinition
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:30:new	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	30	fn:new
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:45:trigger_id	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	45	fn:trigger_id
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:52:TriggerOverlapPair	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	52	struct:TriggerOverlapPair
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:58:new	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	58	fn:new
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:65:trigger_id	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	65	fn:trigger_id
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:69:subject_id	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	69	fn:subject_id
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:76:TriggerOverlapFactKind	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	76	enum:TriggerOverlapFactKind
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:82:as_str	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	82	fn:as_str
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:94:TriggerReconcileCause	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	94	enum:TriggerReconcileCause
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:105:as_str	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	105	fn:as_str
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:122:TriggerOverlapFact	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	122	struct:TriggerOverlapFact
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:135:TriggerVolumeDiagnosticCode	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	135	enum:TriggerVolumeDiagnosticCode
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:153:as_str	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	153	fn:as_str
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:175:TriggerVolumeDiagnostic	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	175	struct:TriggerVolumeDiagnostic
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:182:TriggerVolumeError	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	182	struct:TriggerVolumeError
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:200:TriggerOverlapReadout	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	200	struct:TriggerOverlapReadout
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:209:TriggerReconcileReceipt	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	209	struct:TriggerReconcileReceipt
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:221:TriggerVolumeSnapshot	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	221	struct:TriggerVolumeSnapshot
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:232:TriggerVolumeRule	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	232	struct:TriggerVolumeRule
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:239:new	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	239	fn:new
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:252:register	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	252	fn:register
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:274:definitions	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	274	fn:definitions
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:278:active_overlaps	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	278	fn:active_overlaps
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:282:revision	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	282	fn:revision
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:289:reconcile	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	289	fn:reconcile
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:343:current_overlaps	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	343	fn:current_overlaps
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:384:snapshot	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	384	fn:snapshot
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:398:from_snapshot	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	398	fn:from_snapshot
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:476:encode_snapshot	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	476	fn:encode_snapshot
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:482:decode_snapshot	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	482	fn:decode_snapshot
api:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:668:validate_kinematic_trigger_definition	api	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	668	fn:validate_kinematic_trigger_definition
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:enter_continue_exit_are_exactly_once_and_stably_hashed	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	804	enter_continue_exit_are_exactly_once_and_stably_hashed
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:spawn_inside_and_teleport_through_have_explicit_endpoint_semantics	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	836	spawn_inside_and_teleport_through_have_explicit_endpoint_semantics
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:deactivation_reactivation_and_destruction_cannot_leave_stale_pairs	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	868	deactivation_reactivation_and_destruction_cannot_leave_stale_pairs
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:touching_faces_are_not_overlaps_matching_entity_collision_semantics	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	933	touching_faces_are_not_overlaps_matching_entity_collision_semantics
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:save_reload_preserves_pairs_and_does_not_duplicate_enter	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	947	save_reload_preserves_pairs_and_does_not_duplicate_enter
test:engine-rs/crates/rules/rule-trigger-volume/src/lib.rs:malformed_definitions_stale_providers_and_read_quotas_fail_typed	test	rule-trigger-volume	engine-rs/crates/rules/rule-trigger-volume/src/lib.rs	968	malformed_definitions_stale_providers_and_read_quotas_fail_typed
