item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/rules/rule-voxel-edit/Cargo.toml	file	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/Cargo.toml	0	-
file:engine-rs/crates/rules/rule-voxel-edit/src/history.rs	file	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	0	-
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:25:VOXEL_EDIT_HISTORY_PATH	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	25	const:VOXEL_EDIT_HISTORY_PATH
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:29:VoxelEditHistoryLimits	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	29	struct:VoxelEditHistoryLimits
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:37:new	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	37	fn:new
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:50:with_diff_voxels	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	50	fn:with_diff_voxels
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:64:VoxelEditHistoryEntry	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	64	struct:VoxelEditHistoryEntry
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:74:VoxelEditHistoryCursor	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	74	struct:VoxelEditHistoryCursor
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:86:VoxelEditHistoryAppendReceipt	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	86	struct:VoxelEditHistoryAppendReceipt
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:95:VoxelEditHistoryRevertReceipt	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	95	struct:VoxelEditHistoryRevertReceipt
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:106:VoxelEditHistoryRejection	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	106	enum:VoxelEditHistoryRejection
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:141:VoxelEditHistory	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	141	struct:VoxelEditHistory
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:152:new	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	152	fn:new
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:157:with_limits	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	157	fn:with_limits
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:168:entries	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	168	fn:entries
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:172:cursor	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	172	fn:cursor
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:176:current_world	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	176	fn:current_world
api:engine-rs/crates/rules/rule-voxel-edit/src/history.rs:180:current_world_hash	api	rule-voxel-edit	engine-rs/crates/rules/rule-voxel-edit/src/history.rs	180	fn:current_world_hash
