item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/tools/scene-diagnostics/Cargo.toml	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/Cargo.toml	0	-
file:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	0	-
api:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:17:manifest_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	17	fn:manifest_diagnostics
api:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:90:artifact_integrity_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	90	fn:artifact_integrity_diagnostics
api:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:131:missing_cache_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	131	fn:missing_cache_diagnostics
api:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:160:generator_mismatch_diagnostic	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	160	fn:generator_mismatch_diagnostic
api:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:178:regen_conflict_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	178	fn:regen_conflict_diagnostics
test:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:valid_manifest_emits_nothing	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	258	valid_manifest_emits_nothing
test:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:unsupported_schema_is_fatal_mismatch	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	263	unsupported_schema_is_fatal_mismatch
test:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:tampered_durable_artifact_is_corrupt	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	275	tampered_durable_artifact_is_corrupt
test:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:absent_cache_is_a_warning_not_a_block	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	295	absent_cache_is_a_warning_not_a_block
test:engine-rs/crates/tools/scene-diagnostics/src/bundle.rs:generator_mismatch_is_fatal	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/bundle.rs	307	generator_mismatch_is_fatal
file:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	0	-
api:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:14:catalog_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	14	fn:catalog_diagnostics
api:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:120:lock_diagnostics	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	120	fn:lock_diagnostics
test:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:valid_catalog_emits_nothing	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	206	valid_catalog_emits_nothing
test:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:unknown_dependency_and_cycle_are_classified	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	211	unknown_dependency_and_cycle_are_classified
test:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:lock_drift_maps_to_stale_warnings	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	225	lock_drift_maps_to_stale_warnings
test:engine-rs/crates/tools/scene-diagnostics/src/catalog.rs:missing_locked_asset_is_an_error	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/catalog.rs	241	missing_locked_asset_is_an_error
file:engine-rs/crates/tools/scene-diagnostics/src/composition.rs	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	0	-
api:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:22:composition_failure_diagnostic	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	22	fn:composition_failure_diagnostic
api:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:220:composition_failure_set	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	220	fn:composition_failure_set
test:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:missing_artifact_is_fatal_load_stage_failure_with_path	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	245	missing_artifact_is_fatal_load_stage_failure_with_path
test:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:version_unsupported_maps_to_manifest_mismatch	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	259	version_unsupported_maps_to_manifest_mismatch
test:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:final_consistency_maps_to_mismatch_code	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	270	final_consistency_maps_to_mismatch_code
test:engine-rs/crates/tools/scene-diagnostics/src/composition.rs:every_variant_yields_a_world_composition_or_bundle_scoped_report	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/composition.rs	280	every_variant_yields_a_world_composition_or_bundle_scoped_report
file:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	0	-
api:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs:48:BundleEquivalenceReport	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	48	struct:BundleEquivalenceReport
api:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs:64:is_equivalent	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	64	fn:is_equivalent
api:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs:69:to_report_text	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	69	fn:to_report_text
api:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs:147:project_bundle_round_trip	api	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	147	fn:project_bundle_round_trip
test:engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs:a_lost_facet_is_reported_not_just_asserted	test	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/equivalence.rs	282	a_lost_facet_is_reported_not_just_asserted
file:engine-rs/crates/tools/scene-diagnostics/src/lib.rs	file	scene-diagnostics	engine-rs/crates/tools/scene-diagnostics/src/lib.rs	0	-
