item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-entity-authoring/Cargo.toml	file	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/Cargo.toml	0	-
file:engine-rs/crates/services/svc-entity-authoring/src/activation.rs	file	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/activation.rs	0	-
api:engine-rs/crates/services/svc-entity-authoring/src/activation.rs:20:apply_rule_owned_capability_activation	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/activation.rs	20	fn:apply_rule_owned_capability_activation
api:engine-rs/crates/services/svc-entity-authoring/src/activation.rs:72:project_capability_activation	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/activation.rs	72	fn:project_capability_activation
file:engine-rs/crates/services/svc-entity-authoring/src/lib.rs	file	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	0	-
api:engine-rs/crates/services/svc-entity-authoring/src/lib.rs:148:EcrpRuleOwner	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	148	enum:EcrpRuleOwner
api:engine-rs/crates/services/svc-entity-authoring/src/lib.rs:160:EcrpCapabilityMutation	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	160	enum:EcrpCapabilityMutation
api:engine-rs/crates/services/svc-entity-authoring/src/lib.rs:174:EcrpRuleMutationDiagnostic	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	174	struct:EcrpRuleMutationDiagnostic
api:engine-rs/crates/services/svc-entity-authoring/src/lib.rs:182:RuleOwnedEntityAuthoringOutcome	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	182	enum:RuleOwnedEntityAuthoringOutcome
api:engine-rs/crates/services/svc-entity-authoring/src/lib.rs:206:validate_and_apply_rule_owned	api	svc-entity-authoring	engine-rs/crates/services/svc-entity-authoring/src/lib.rs	206	fn:validate_and_apply_rule_owned
