item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-levelgen/Cargo.toml	file	svc-levelgen	engine-rs/crates/services/svc-levelgen/Cargo.toml	0	-
file:engine-rs/crates/services/svc-levelgen/src/lib.rs	file	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	0	-
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:21:TUNNEL_GENERATOR_ID	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	21	const:TUNNEL_GENERATOR_ID
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:22:TUNNEL_GENERATOR_VERSION	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	22	const:TUNNEL_GENERATOR_VERSION
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:27:TunnelPreset	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	27	enum:TunnelPreset
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:32:label	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	32	fn:label
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:41:TunnelGeneratorConfig	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	41	struct:TunnelGeneratorConfig
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:61:tiny_enclosed	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	61	fn:tiny_enclosed
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:89:TunnelGenerationError	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	89	enum:TunnelGenerationError
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:147:GeneratedSpawnMarker	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	147	struct:GeneratedSpawnMarker
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:157:GeneratedCollisionAabb	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	157	struct:GeneratedCollisionAabb
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:167:GeneratedRenderChunk	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	167	struct:GeneratedRenderChunk
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:176:GeneratedTunnelRuntimeFrame	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	176	struct:GeneratedTunnelRuntimeFrame
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:183:canonical_to_runtime	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	183	fn:canonical_to_runtime
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:190:TunnelGenerationRecord	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	190	struct:TunnelGenerationRecord
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:202:GeneratedTunnel	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	202	struct:GeneratedTunnel
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:216:runtime_frame	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	216	fn:runtime_frame
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:239:generate_tunnel	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	239	fn:generate_tunnel
api:engine-rs/crates/services/svc-levelgen/src/lib.rs:541:describe_generated_tunnel	api	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	541	fn:describe_generated_tunnel
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:same_seed_produces_same_hash_and_fixture	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	620	same_seed_produces_same_hash_and_fixture
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:different_seed_changes_output_metadata	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	629	different_seed_changes_output_metadata
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:invalid_config_is_rejected	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	637	invalid_config_is_rejected
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:collision_projection_blocks_shell_but_not_spawn	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	654	collision_projection_blocks_shell_but_not_spawn
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:centered_runtime_collision_frame_matches_first_person_room_coordinates	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	666	centered_runtime_collision_frame_matches_first_person_room_coordinates
test:engine-rs/crates/services/svc-levelgen/src/lib.rs:tiny_tunnel_fixture_matches_committed_golden	test	svc-levelgen	engine-rs/crates/services/svc-levelgen/src/lib.rs	688	tiny_tunnel_fixture_matches_committed_golden
