item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-mesh-import/Cargo.toml	file	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/Cargo.toml	0	-
file:engine-rs/crates/services/svc-mesh-import/src/lib.rs	file	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	0	-
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:23:MeshImportErrorKind	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	23	enum:MeshImportErrorKind
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:31:MeshImportError	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	31	struct:MeshImportError
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:37:ImportedMeshSource	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	37	struct:ImportedMeshSource
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:42:source_sha256	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	42	fn:source_sha256
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:46:import_static_mesh	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	46	fn:import_static_mesh
api:engine-rs/crates/services/svc-mesh-import/src/lib.rs:55:preflight_import_request	api	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	55	fn:preflight_import_request
test:engine-rs/crates/services/svc-mesh-import/src/lib.rs:imports_nontrivial_embedded_glb_with_canonical_metadata	test	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	366	imports_nontrivial_embedded_glb_with_canonical_metadata
test:engine-rs/crates/services/svc-mesh-import/src/lib.rs:rejects_empty_and_malformed_sources_without_geometry	test	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	389	rejects_empty_and_malformed_sources_without_geometry
test:engine-rs/crates/services/svc-mesh-import/src/lib.rs:import_preflight_enforces_exact_source_and_string_limits	test	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	405	import_preflight_enforces_exact_source_and_string_limits
test:engine-rs/crates/services/svc-mesh-import/src/lib.rs:cumulative_geometry_limits_reject_before_collection	test	svc-mesh-import	engine-rs/crates/services/svc-mesh-import/src/lib.rs	448	cumulative_geometry_limits_reject_before_collection
