item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-physics/Cargo.toml	file	svc-physics	engine-rs/crates/services/svc-physics/Cargo.toml	0	-
file:engine-rs/crates/services/svc-physics/src/lib.rs	file	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	0	-
api:engine-rs/crates/services/svc-physics/src/lib.rs:33:PhysicsStep	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	33	struct:PhysicsStep
api:engine-rs/crates/services/svc-physics/src/lib.rs:43:new	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	43	fn:new
api:engine-rs/crates/services/svc-physics/src/lib.rs:54:ticks	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	54	fn:ticks
api:engine-rs/crates/services/svc-physics/src/lib.rs:58:seconds_per_tick	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	58	fn:seconds_per_tick
api:engine-rs/crates/services/svc-physics/src/lib.rs:63:elapsed_seconds	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	63	fn:elapsed_seconds
api:engine-rs/crates/services/svc-physics/src/lib.rs:70:PhysicsWorld	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	70	struct:PhysicsWorld
api:engine-rs/crates/services/svc-physics/src/lib.rs:97:CollisionMode	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	97	enum:CollisionMode
api:engine-rs/crates/services/svc-physics/src/lib.rs:107:KinematicBody	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	107	struct:KinematicBody
api:engine-rs/crates/services/svc-physics/src/lib.rs:116:stationary	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	116	fn:stationary
api:engine-rs/crates/services/svc-physics/src/lib.rs:126:with_velocity	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	126	fn:with_velocity
api:engine-rs/crates/services/svc-physics/src/lib.rs:131:with_acceleration	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	131	fn:with_acceleration
api:engine-rs/crates/services/svc-physics/src/lib.rs:136:with_gravity_scale	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	136	fn:with_gravity_scale
api:engine-rs/crates/services/svc-physics/src/lib.rs:141:requiring_collision_query	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	141	fn:requiring_collision_query
api:engine-rs/crates/services/svc-physics/src/lib.rs:149:IntegrationResult	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	149	struct:IntegrationResult
api:engine-rs/crates/services/svc-physics/src/lib.rs:159:PhysicsError	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	159	enum:PhysicsError
api:engine-rs/crates/services/svc-physics/src/lib.rs:170:category	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	170	fn:category
api:engine-rs/crates/services/svc-physics/src/lib.rs:179:code	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	179	fn:code
api:engine-rs/crates/services/svc-physics/src/lib.rs:211:integrate_kinematic	api	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	211	fn:integrate_kinematic
test:engine-rs/crates/services/svc-physics/src/lib.rs:integrates_velocity_and_acceleration_deterministically	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	262	integrates_velocity_and_acceleration_deterministically
test:engine-rs/crates/services/svc-physics/src/lib.rs:applies_world_gravity_through_body_scale	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	282	applies_world_gravity_through_body_scale
test:engine-rs/crates/services/svc-physics/src/lib.rs:zero_tick_step_is_a_valid_no_motion_result	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	292	zero_tick_step_is_a_valid_no_motion_result
test:engine-rs/crates/services/svc-physics/src/lib.rs:invalid_step_is_rejected	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	306	invalid_step_is_rejected
test:engine-rs/crates/services/svc-physics/src/lib.rs:collision_required_movement_fails_closed	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	324	collision_required_movement_fails_closed
test:engine-rs/crates/services/svc-physics/src/lib.rs:non_finite_inputs_are_rejected	test	svc-physics	engine-rs/crates/services/svc-physics/src/lib.rs	336	non_finite_inputs_are_rejected
