item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-serialization/Cargo.toml	file	svc-serialization	engine-rs/crates/services/svc-serialization/Cargo.toml	0	-
file:engine-rs/crates/services/svc-serialization/examples/dump_load_plan.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/examples/dump_load_plan.rs	0	-
file:engine-rs/crates/services/svc-serialization/examples/dump_manifest.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/examples/dump_manifest.rs	0	-
file:engine-rs/crates/services/svc-serialization/examples/dump_prefab_registry.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/examples/dump_prefab_registry.rs	0	-
file:engine-rs/crates/services/svc-serialization/src/artifact.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	0	-
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:19:ArtifactClass	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	19	enum:ArtifactClass
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:30:tag	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	30	fn:tag
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:39:from_tag	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	39	fn:from_tag
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:52:is_load_required	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	52	fn:is_load_required
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:60:ArtifactRole	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	60	enum:ArtifactRole
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:103:tag	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	103	fn:tag
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:126:from_tag	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	126	fn:from_tag
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:152:is_known_runtime_role	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	152	fn:is_known_runtime_role
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:168:ArtifactEntry	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	168	struct:ArtifactEntry
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:180:durable	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	180	fn:durable
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:190:generated	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	190	fn:generated
api:engine-rs/crates/services/svc-serialization/src/artifact.rs:200:cache	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/artifact.rs	200	fn:cache
file:engine-rs/crates/services/svc-serialization/src/hash.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	0	-
api:engine-rs/crates/services/svc-serialization/src/hash.rs:12:BundleHash	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	12	struct:BundleHash
api:engine-rs/crates/services/svc-serialization/src/hash.rs:16:of	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	16	fn:of
api:engine-rs/crates/services/svc-serialization/src/hash.rs:26:of_str	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	26	fn:of_str
api:engine-rs/crates/services/svc-serialization/src/hash.rs:31:to_hex	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	31	fn:to_hex
api:engine-rs/crates/services/svc-serialization/src/hash.rs:36:parse_hex	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	36	fn:parse_hex
test:engine-rs/crates/services/svc-serialization/src/hash.rs:hash_is_deterministic_and_hex_round_trips	test	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	49	hash_is_deterministic_and_hex_round_trips
test:engine-rs/crates/services/svc-serialization/src/hash.rs:different_bytes_hash_differently	test	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	58	different_bytes_hash_differently
test:engine-rs/crates/services/svc-serialization/src/hash.rs:parse_hex_rejects_malformed	test	svc-serialization	engine-rs/crates/services/svc-serialization/src/hash.rs	63	parse_hex_rejects_malformed
file:engine-rs/crates/services/svc-serialization/src/json.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/src/json.rs	0	-
api:engine-rs/crates/services/svc-serialization/src/json.rs:22:encode	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/json.rs	22	fn:encode
api:engine-rs/crates/services/svc-serialization/src/json.rs:148:ManifestDecodeError	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/json.rs	148	enum:ManifestDecodeError
api:engine-rs/crates/services/svc-serialization/src/json.rs:193:decode	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/json.rs	193	fn:decode
file:engine-rs/crates/services/svc-serialization/src/lib.rs	file	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	0	-
api:engine-rs/crates/services/svc-serialization/src/lib.rs:36:artifact	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	36	mod:artifact
api:engine-rs/crates/services/svc-serialization/src/lib.rs:37:hash	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	37	mod:hash
api:engine-rs/crates/services/svc-serialization/src/lib.rs:38:json	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	38	mod:json
api:engine-rs/crates/services/svc-serialization/src/lib.rs:39:load_plan	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	39	mod:load_plan
api:engine-rs/crates/services/svc-serialization/src/lib.rs:40:manifest	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	40	mod:manifest
api:engine-rs/crates/services/svc-serialization/src/lib.rs:41:prefab	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	41	mod:prefab
api:engine-rs/crates/services/svc-serialization/src/lib.rs:42:prefab_json	api	svc-serialization	engine-rs/crates/services/svc-serialization/src/lib.rs	42	mod:prefab_json
