item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-voxel-annotation/Cargo.toml	file	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/Cargo.toml	0	-
file:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	file	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	0	-
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:25:DEFAULT_MAX_REGIONS	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	25	const:DEFAULT_MAX_REGIONS
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:26:DEFAULT_MAX_SPARSE_RUNS_PER_REGION	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	26	const:DEFAULT_MAX_SPARSE_RUNS_PER_REGION
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:27:DEFAULT_MAX_TOTAL_ASSIGNED_CELLS	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	27	const:DEFAULT_MAX_TOTAL_ASSIGNED_CELLS
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:28:DEFAULT_MAX_TAGS_PER_REGION	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	28	const:DEFAULT_MAX_TAGS_PER_REGION
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:29:DEFAULT_MAX_LABEL_BYTES	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	29	const:DEFAULT_MAX_LABEL_BYTES
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:32:VoxelAnnotationDecodeError	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	32	enum:VoxelAnnotationDecodeError
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:57:validate_layer	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	57	fn:validate_layer
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:116:with_computed_hashes	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	116	fn:with_computed_hashes
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:157:encode_layer	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	157	fn:encode_layer
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:173:decode_layer	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	173	fn:decode_layer
api:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:199:query_layer	api	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	199	fn:query_layer
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:normalizes_unhashed_draft_and_rejects_wrong_finalized_hashes	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	967	normalizes_unhashed_draft_and_rejects_wrong_finalized_hashes
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:validates_hashes_and_round_trips_canonical_json	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1001	validates_hashes_and_round_trips_canonical_json
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:stale_target_hash_fails_closed	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1025	stale_target_hash_fails_closed
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:out_of_bounds_duplicate_cycles_and_quota_are_classified	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1038	out_of_bounds_duplicate_cycles_and_quota_are_classified
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:sparse_runs_must_be_sorted_by_z_y_x	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1068	sparse_runs_must_be_sorted_by_z_y_x
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:unknown_json_fields_are_rejected_before_validation	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1089	unknown_json_fields_are_rejected_before_validation
test:engine-rs/crates/services/svc-voxel-annotation/src/lib.rs:cell_and_bounds_queries_return_bounded_region_readouts	test	svc-voxel-annotation	engine-rs/crates/services/svc-voxel-annotation/src/lib.rs	1108	cell_and_bounds_queries_return_bounded_region_readouts
