item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-voxel-asset/Cargo.toml	file	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/Cargo.toml	0	-
file:engine-rs/crates/services/svc-voxel-asset/src/lib.rs	file	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	0	-
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:22:VOXEL_ASSET_COORDINATE_SYSTEM	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	22	const:VOXEL_ASSET_COORDINATE_SYSTEM
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:25:VoxelAssetValidationReport	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	25	struct:VoxelAssetValidationReport
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:32:is_valid	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	32	fn:is_valid
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:43:VoxelAssetDecodeError	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	43	enum:VoxelAssetDecodeError
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:68:validate_asset	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	68	fn:validate_asset
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:136:with_computed_hashes	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	136	fn:with_computed_hashes
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:150:encode_asset	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	150	fn:encode_asset
api:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:159:decode_asset	api	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	159	fn:decode_asset
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:hand_authored_voxel_asset_roundtrips_and_hashes	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	567	hand_authored_voxel_asset_roundtrips_and_hashes
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:converted_volume_asset_records_conversion_provenance	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	586	converted_volume_asset_records_conversion_provenance
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:invalid_bounds_and_material_references_are_classified	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	604	invalid_bounds_and_material_references_are_classified
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:duplicate_material_palette_binding_ids_fail_closed	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	622	duplicate_material_palette_binding_ids_fail_closed
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:sparse_run_overlap_detection_uses_intervals	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	641	sparse_run_overlap_detection_uses_intervals
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:compressed_sparse_run_validation_does_not_expand_each_voxel	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	666	compressed_sparse_run_validation_does_not_expand_each_voxel
test:engine-rs/crates/services/svc-voxel-asset/src/lib.rs:unsupported_version_is_rejected_on_decode	test	svc-voxel-asset	engine-rs/crates/services/svc-voxel-asset/src/lib.rs	682	unsupported_version_is_rejected_on_decode
