item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-voxel-conversion/Cargo.toml	file	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/Cargo.toml	0	-
file:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	file	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	0	-
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:32:AUTHORITY_VERSION	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	32	const:AUTHORITY_VERSION
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:33:MAX_SOURCE_VERTICES	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	33	const:MAX_SOURCE_VERTICES
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:34:MAX_SOURCE_TRIANGLES	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	34	const:MAX_SOURCE_TRIANGLES
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:35:MAX_RESOLUTION_AXIS	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	35	const:MAX_RESOLUTION_AXIS
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:36:MAX_RESOLUTION_CELLS	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	36	const:MAX_RESOLUTION_CELLS
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:37:MAX_REQUESTED_OUTPUT_VOXELS	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	37	const:MAX_REQUESTED_OUTPUT_VOXELS
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:49:StaticMeshSource	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	49	struct:StaticMeshSource
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:61:MeshTriangle	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	61	struct:MeshTriangle
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:69:ConvertedVoxel	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	69	struct:ConvertedVoxel
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:76:ConversionOutput	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	76	struct:ConversionOutput
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:83:PlannedConversion	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	83	struct:PlannedConversion
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:97:plan_conversion	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	97	fn:plan_conversion
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:153:preview_conversion	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	153	fn:preview_conversion
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:213:apply_conversion	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	213	fn:apply_conversion
api:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:257:plan_hash	api	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	257	fn:plan_hash
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:synthetic_quad_surface_plans_and_previews_two_material_slots	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1463	synthetic_quad_surface_plans_and_previews_two_material_slots
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:synthetic_cube_solid_fills_resolution_volume	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1491	synthetic_cube_solid_fills_resolution_volume
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:larger_tessellated_surface_fixture_has_stable_summary	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1504	larger_tessellated_surface_fixture_has_stable_summary
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:surface_conversion_applies_transform_with_source_origin_anchor	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1528	surface_conversion_applies_transform_with_source_origin_anchor
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:surface_conversion_fit_policy_changes_mapped_coordinates	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1550	surface_conversion_fit_policy_changes_mapped_coordinates
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:centered_origin_places_contained_output_inside_target_bounds	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1580	centered_origin_places_contained_output_inside_target_bounds
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:solid_conversion_fills_mapped_source_bounds_not_entire_resolution	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1592	solid_conversion_fills_mapped_source_bounds_not_entire_resolution
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:invalid_material_map_fails_closed_without_output	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1604	invalid_material_map_fails_closed_without_output
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:material_map_default_is_rust_authority_fallback	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1617	material_map_default_is_rust_authority_fallback
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:texture_sampled_materials_are_rust_authority_output	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1642	texture_sampled_materials_are_rust_authority_output
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:texture_binding_missing_snapshot_fails_closed	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1676	texture_binding_missing_snapshot_fails_closed
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:texture_binding_hash_mismatch_fails_closed	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1691	texture_binding_hash_mismatch_fails_closed
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:unsupported_texture_sampling_policy_fails_closed	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1709	unsupported_texture_sampling_policy_fails_closed
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:unsupported_topology_rejects_solid_mode	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1727	unsupported_topology_rejects_solid_mode
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:solid_topology_rejects_degenerate_duplicate_open_and_overused_edges	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1739	solid_topology_rejects_degenerate_duplicate_open_and_overused_edges
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:oversized_output_rejects_without_best_effort_output	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1765	oversized_output_rejects_without_best_effort_output
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:larger_tessellated_surface_over_budget_rejects_without_output	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1777	larger_tessellated_surface_over_budget_rejects_without_output
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:resolution_axis_guardrail_rejects_before_output_work	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1792	resolution_axis_guardrail_rejects_before_output_work
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:resolution_cell_budget_guardrail_rejects_before_output_work	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1812	resolution_cell_budget_guardrail_rejects_before_output_work
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:requested_output_guardrail_rejects_unbounded_requests	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1834	requested_output_guardrail_rejects_unbounded_requests
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:source_count_guardrails_are_typed_output_limit_diagnostics	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1854	source_count_guardrails_are_typed_output_limit_diagnostics
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:stale_source_hash_rejects_without_output	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1881	stale_source_hash_rejects_without_output
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:apply_receipt_is_replay_hash_checked	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1904	apply_receipt_is_replay_hash_checked
test:engine-rs/crates/services/svc-voxel-conversion/src/lib.rs:committed_golden_summaries_cover_success_and_failure_cases	test	svc-voxel-conversion	engine-rs/crates/services/svc-voxel-conversion/src/lib.rs	1929	committed_golden_summaries_cover_success_and_failure_cases
