item_id	kind	donor_path	line	symbol
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:13:RUNTIME_PROJECTION_SCHEMA_VERSION	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	13	const:RUNTIME_PROJECTION_SCHEMA_VERSION
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:16:AudioHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	16	struct:AudioHandle
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:19:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	19	fn:new
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:23:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	23	fn:raw
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:29:BillboardHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	29	struct:BillboardHandle
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:32:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	32	fn:new
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:36:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	36	fn:raw
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:42:ParticleEmitterHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	42	struct:ParticleEmitterHandle
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:45:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	45	fn:new
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:49:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	49	fn:raw
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:55:TelemetryOverlayHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	55	struct:TelemetryOverlayHandle
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:58:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	58	fn:new
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:62:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	62	fn:raw
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:68:AnimationProjectionHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	68	struct:AnimationProjectionHandle
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:71:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	71	fn:new
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:75:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	75	fn:raw
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:82:ProjectionReplayScope	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	82	enum:ProjectionReplayScope
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:88:PresentationOriginKind	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	88	enum:PresentationOriginKind
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:97:PresentationOriginRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	97	struct:PresentationOriginRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:107:PresentationOpMeta	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	107	struct:PresentationOpMeta
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:114:AudioBus	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	114	enum:AudioBus
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:122:AudioEmitter	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	122	enum:AudioEmitter
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:130:AudioClipRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	130	struct:AudioClipRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:137:AudioSourceDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	137	struct:AudioSourceDescriptor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:151:AudioSourcePatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	151	struct:AudioSourcePatch
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:163:AudioProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	163	enum:AudioProjectionOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:183:AudioProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	183	enum:AudioProjectionDiagnosticCode
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:199:AudioProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	199	struct:AudioProjectionDiagnostic
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:209:AudioProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	209	struct:AudioProjectionReadout
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:218:BillboardAnchor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	218	enum:BillboardAnchor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:225:BillboardTemplateArgument	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	225	struct:BillboardTemplateArgument
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:232:BillboardTextureRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	232	struct:BillboardTextureRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:243:BillboardContent	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	243	enum:BillboardContent
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:269:BillboardFontRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	269	enum:BillboardFontRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:282:BillboardLayer	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	282	enum:BillboardLayer
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:290:BillboardDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	290	struct:BillboardDescriptor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:304:BillboardPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	304	struct:BillboardPatch
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:318:BillboardProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	318	enum:BillboardProjectionOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:334:BillboardProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	334	enum:BillboardProjectionDiagnosticCode
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:350:BillboardProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	350	struct:BillboardProjectionDiagnostic
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:360:BillboardProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	360	struct:BillboardProjectionReadout
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:370:ParticleAnchor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	370	enum:ParticleAnchor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:377:ParticleSpriteRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	377	struct:ParticleSpriteRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:385:ParticleScalarKey	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	385	struct:ParticleScalarKey
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:392:ParticleColorKey	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	392	struct:ParticleColorKey
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:399:ParticleEmitterDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	399	struct:ParticleEmitterDescriptor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:418:ParticleEmitterPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	418	struct:ParticleEmitterPatch
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:436:ParticleProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	436	enum:ParticleProjectionOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:456:ParticleProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	456	enum:ParticleProjectionDiagnosticCode
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:473:ParticleProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	473	struct:ParticleProjectionDiagnostic
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:483:ParticleProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	483	struct:ParticleProjectionReadout
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:494:TelemetryOverlayCorner	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	494	enum:TelemetryOverlayCorner
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:503:TelemetryOverlayDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	503	struct:TelemetryOverlayDescriptor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:513:TelemetryOverlayPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	513	struct:TelemetryOverlayPatch
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:523:TelemetryOverlayProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	523	enum:TelemetryOverlayProjectionOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:539:TelemetryOverlayDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	539	enum:TelemetryOverlayDiagnosticCode
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:550:TelemetryOverlayDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	550	struct:TelemetryOverlayDiagnostic
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:560:TelemetryOverlayReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	560	struct:TelemetryOverlayReadout
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:568:AnimationResolvedMotion	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	568	struct:AnimationResolvedMotion
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:577:AnimationTransitionProjection	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	577	struct:AnimationTransitionProjection
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:588:AnimationTransitionFactMoment	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	588	enum:AnimationTransitionFactMoment
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:597:AnimationTransitionFactRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	597	struct:AnimationTransitionFactRef
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:615:AnimationControllerProjectionState	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	615	struct:AnimationControllerProjectionState
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:629:AnimationProjectionDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	629	struct:AnimationProjectionDescriptor
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:638:AnimationProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	638	enum:AnimationProjectionOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:654:AnimationProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	654	enum:AnimationProjectionDiagnosticCode
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:672:AnimationProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	672	struct:AnimationProjectionDiagnostic
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:683:AnimationProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	683	struct:AnimationProjectionReadout
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:692:PresentationOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	692	enum:PresentationOp
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:717:PresentationFrameDiff	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	717	struct:PresentationFrameDiff
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:732:RuntimeProjectionFrame	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	732	struct:RuntimeProjectionFrame
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:744:SceneDocumentAuthoringResultDto	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	744	struct:SceneDocumentAuthoringResultDto
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:753:empty	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	753	fn:empty
test:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:runtime_frame_is_scene_plus_ordered_replay_excluded_presentation	test	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	768	runtime_frame_is_scene_plus_ordered_replay_excluded_presentation
test:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:audio_handle_is_domain_branded_and_stable	test	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	781	audio_handle_is_domain_branded_and_stable
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:11:SpatialGridCoordinateSystem	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	11	enum:SpatialGridCoordinateSystem
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:17:SpatialGridSpec	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	17	struct:SpatialGridSpec
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:25:EditorGridPlane	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	25	enum:EditorGridPlane
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:33:SpatialGridSnapAnchor	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	33	enum:SpatialGridSnapAnchor
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:40:EditorGridStyle	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	40	struct:EditorGridStyle
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:54:EditorGridDescriptor	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	54	struct:EditorGridDescriptor
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:64:EditorGridBounds	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	64	struct:EditorGridBounds
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:71:EditorGridProjectionReadout	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	71	struct:EditorGridProjectionReadout
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:80:EditorGridDescriptorError	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	80	enum:EditorGridDescriptorError
api:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:91:validate	api	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	91	fn:validate
test:engine-rs/crates/protocol/protocol-render/src/editor_grid.rs:descriptor_validation_enforces_y_up_and_numeric_bounds	test	engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	142	descriptor_validation_enforces_y_up_and_numeric_bounds
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:66:RenderHandle	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	66	struct:RenderHandle
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:70:new	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	70	fn:new
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:75:raw	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	75	fn:raw
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:87:Transform	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	87	struct:Transform
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:96:IDENTITY	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	96	const:IDENTITY
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:117:Geometry	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	117	enum:Geometry
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:136:Material	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	136	struct:Material
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:145:DEFAULT	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	145	const:DEFAULT
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:161:RenderLayer	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	161	enum:RenderLayer
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:176:RenderMetadata	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	176	struct:RenderMetadata
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:193:RenderNode	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	193	struct:RenderNode
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:205:new	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	205	fn:new
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:224:RenderDiff	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	224	enum:RenderDiff
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:332:MeshAttributeKind	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	332	enum:MeshAttributeKind
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:339:MeshAttributeName	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	339	enum:MeshAttributeName
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:348:MeshAttribute	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	348	struct:MeshAttribute
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:357:MeshIndexWidth	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	357	enum:MeshIndexWidth
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:365:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	365	fn:label
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:375:MeshBufferLayout	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	375	struct:MeshBufferLayout
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:384:MeshGroupDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	384	struct:MeshGroupDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:392:MeshBoundsDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	392	struct:MeshBoundsDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:404:MeshProvenance	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	404	enum:MeshProvenance
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:418:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	418	fn:label
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:432:MeshPayloadSource	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	432	enum:MeshPayloadSource
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:450:MeshPayloadDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	450	struct:MeshPayloadDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:461:MeshDescriptorError	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	461	enum:MeshDescriptorError
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:520:validate	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	520	fn:validate
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:592:MeshMaterialSlot	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	592	struct:MeshMaterialSlot
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:602:MeshCollisionPolicy	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	602	enum:MeshCollisionPolicy
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:616:StaticMeshAsset	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	616	struct:StaticMeshAsset
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:626:CollisionResolution	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	626	enum:CollisionResolution
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:637:StaticMeshError	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	637	enum:StaticMeshError
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:653:validate	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	653	fn:validate
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:687:resolve_collision	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	687	fn:resolve_collision
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:705:StaticMeshInstanceDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	705	struct:StaticMeshInstanceDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:720:AnimatedMeshRuntimeFormat	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	720	enum:AnimatedMeshRuntimeFormat
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:726:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	726	fn:label
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:735:AnimationLoopMode	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	735	enum:AnimationLoopMode
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:746:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	746	fn:label
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:757:AnimationClipDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	757	struct:AnimationClipDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:769:AnimatedMeshAsset	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	769	struct:AnimatedMeshAsset
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:786:AnimatedMeshAssetError	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	786	enum:AnimatedMeshAssetError
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:797:validate	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	797	fn:validate
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:833:AnimatedMeshInstanceDescriptor	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	833	struct:AnimatedMeshInstanceDescriptor
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:847:AnimatedMeshPlaybackCommand	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	847	enum:AnimatedMeshPlaybackCommand
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:867:SpriteSizeMode	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	867	enum:SpriteSizeMode
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:876:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	876	fn:label
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:886:BillboardMode	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	886	enum:BillboardMode
api:engine-rs/crates/protocol/protocol-render/src/lib.rs:897:label	api	engine-rs/crates/protocol/protocol-render/src/lib.rs	897	fn:label
