# Six fixed #6923 visual-comparison variants. Staged GLBs are ignored.
# variant	filename	source-path	sha256	bytes	receipt-path-or-provenance
occupancy-axis-control	terrain-axis.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/terrain-axis.glb	69320ba7b24650d424bfeb2597d14a17e70c1644efd39cb1d2dc1e60aefe80ec	1049020	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-axis-control	shrine-axis.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/shrine-axis.glb	848175abac411a5ebe57c85c8e9fdf1ef99b0107d83e02e2185f09c0720a08a1	13797108	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-axis-control	tree-axis.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/tree-axis.glb	53a1a3c771e034cde9a01d5f1d8b94882f62f746f736e6c0c9ffd3d8a1f60ccb	12940712	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-axis-control	door-axis.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/door-axis.glb	92d469e377b5fef649b99a57aa424dc1f2dd07c59d702be8cef49cb4691c4fbd	5566652	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-adjacency-normals	terrain-adjacency.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/terrain-adjacency.glb	bce2422eda911e47060dbbc1a83d0ea498b9c9da2ac2152721bc5fb395ea5e46	1068200	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-adjacency-normals	shrine-adjacency.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/shrine-adjacency.glb	f67461784ee76b20a613450dfca3821573556d6cb54f986658436894a415cf04	14558580	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-adjacency-normals	tree-adjacency.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/tree-adjacency.glb	c217f0b6731acb900adc6dca24d077e4a4cdc0148f9bf0b2c5d34d2ac7f0faa0	13513144	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
occupancy-adjacency-normals	door-adjacency.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/door-adjacency.glb	c99294af25134e42337cc9d0f2faadb88e9342c3628bf58ab1b85576de7f509a	5732852	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/occupancy-whole-voxel-ab-20260824-003/manifest.json
original-pbr	terrain-128.glb	/home/dev/asset-pipeline/live-evidence/voxel-experiment-gallery/imports/voxel-vignette-128-20260823-003/members/terrain-128.glb	a225f7779c6d2353baf67d132b2da42e3a03550f504e0792518b2350b0e3ceea	1067856	original #6925 accepted member
original-pbr	shrine-nano-128.glb	/home/dev/asset-pipeline/live-evidence/voxel-experiment-gallery/imports/voxel-vignette-128-20260823-003/members/shrine-nano-128.glb	5e5db140a13772263c9336923f0dac43dedc896e5eac9cec077f78822fb8b02e	14257592	original #6925 accepted member
original-pbr	gpt-tree-128.glb	/home/dev/asset-pipeline/live-evidence/voxel-experiment-gallery/imports/voxel-vignette-128-20260823-003/members/gpt-tree-128.glb	74f2e423679c9ef72551d6861ae9927fdd11671e45ece0f5173c3ffb7aa329c0	13371020	original #6925 accepted member
original-pbr	door-t3-128.glb	/home/dev/asset-pipeline/live-evidence/voxel-experiment-gallery/imports/voxel-vignette-128-20260823-003/members/door-t3-128.glb	37068569f77e28b1109426c9663d880472a7a8e62444d1ff83e154739e7f1fbd	5853560	original #6925 accepted member
producer-normals	terrain-normals.glb	/tmp/vengi-normal-probe.MVI6hv/terrain-normals.glb	db24a3de5e060c6fb4686ea843f9a22c697adbe0a94b31786723534a6ab8d796	1559620	comparison-provenance.md#producer-normal-variant
producer-normals	shrine-nano-normals.glb	/tmp/vengi-normal-probe.MVI6hv/shrine-nano-normals.glb	151de53cbdff767844fff51be6ed14e1c4a793b0492ec2614fbd07a61281870a	20772492	comparison-provenance.md#producer-normal-variant
producer-normals	gpt-tree-normals.glb	/tmp/vengi-normal-probe.MVI6hv/gpt-tree-normals.glb	c997ae83d56651136d64867d8c88ea87ca648512de93277fb293cd0e73a694b9	19476664	comparison-provenance.md#producer-normal-variant
producer-normals	door-normals.glb	/tmp/vengi-normal-probe.MVI6hv/door-normals.glb	33758a14facfa7a3086ceee164d72a105a381eee27c79e4b6ec50719ba41fb3c	8489932	comparison-provenance.md#producer-normal-variant
producer-normals-matte-pbr	terrain-normals-matte-pbr.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/terrain-normals-matte-pbr.glb	525a831952e0d73e4bc5d411faa2d37af1090de5820762c742362eea1cd85a87	1559556	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/terrain-normals-matte-pbr.receipt.json
producer-normals-matte-pbr	shrine-nano-normals-matte-pbr.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/shrine-nano-normals-matte-pbr.glb	97dff90a7f6d09f8846b4d96ddb00b831067cbd68bcefda774e7a50fb31120fc	20769652	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/shrine-nano-normals-matte-pbr.receipt.json
producer-normals-matte-pbr	gpt-tree-normals-matte-pbr.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/gpt-tree-normals-matte-pbr.glb	6c65bb93bf267bfe5a5d90e62e5898ad0b78a71ae120ec5c0b493066671186d7	19473828	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/gpt-tree-normals-matte-pbr.receipt.json
producer-normals-matte-pbr	door-normals-matte-pbr.glb	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/door-normals-matte-pbr.glb	4e6cf0527b0fbf662ef7869cc5f8db46527e13aa8af2daaa6c78bac1f74ea34f	8487096	/home/dev/worktrees/asset-pipeline-6923-matte/live-evidence/voxel-experiments/6923-palette-matte-pbr-20260823-001/door-normals-matte-pbr.receipt.json
palette-unlit	terrain-128-palette-unlit.glb	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/terrain-128-palette-unlit.glb	254c7ed1d5376d3fbeaff1239a9125b769dbf3d1182e349956c69d7584c30c1a	1067908	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/terrain-128-palette-unlit.receipt.json
palette-unlit	shrine-nano-128-palette-unlit.glb	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/shrine-nano-128-palette-unlit.glb	9f97e2700962191ea015f87bb1f63670919581e3cf9f32807a72ca585ad563f5	14260896	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/shrine-nano-128-palette-unlit.receipt.json
palette-unlit	gpt-tree-128-palette-unlit.glb	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/gpt-tree-128-palette-unlit.glb	cc5b1f15c31dbf114717c5f078637ef84752224f9f32734da7abc0794c595460	13374324	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/gpt-tree-128-palette-unlit.receipt.json
palette-unlit	door-t3-128-palette-unlit.glb	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/door-t3-128-palette-unlit.glb	f3c8c66bc7b97bfbccdf19452b8042589b13209614c3e8a53098a4f5c32e03b5	5856864	/home/dev/asset-pipeline/live-evidence/palette-unlit-6925-20260824-001/door-t3-128-palette-unlit.receipt.json
